1.746167800	1.1 1 2
5.510136054	2.1 2 4 
10.159274376	3.2 3 4 
10.159274376	3.2 1 3 
13.912108844	4.2 2 1 
14.854875283	4.3 1 1 
17.689546485	5.2 1 3
18.605873016	5.3 2 2 
21.443061224	6.2 3 1
21.443061224	6.2 1 1
23.272721088	6.4 1 2
25.213083900	7.2 2 3
26.144081633	7.3 1 2
28.005600907	8.1 2 2
28.914036281	8.2 3 1 
31.757324263	9.1 1 3 
32.670090703	9.2 2 1 
35.500136054	10.1 1 1 
39.200113379	11.1 1 2
41.120702948	11.3 2 3
43.940226757	12.2 1 2
45.761065760	12.4 2 1 
46.739682540	13.1 3 1
48.611587302	13.3 2 2
50.499092971	14.1 1 3
52.368072562	14.3 2 3
54.242380952	15.1 1 2
57.972517007	16.1 1 1
59.872789116	16.3 1 1
61.765011338	17.1 1 3
63.630997732	17.3 2 2 
64.569297052	17.4 1 2
67.398321995	18.3 1 3 
67.398321995	18.3 3 3 
67.398321995	18.3 2 1
69.223356009	19.1 2 1
73.002539683	20.1 1 2
75.732335601	20.4 2 1
78.614739229	21.3 1 3
80.453378685	22.1 2 3
82.350272109	22.3 3 1
84.250748299	23.1 1 2
88.009614512	24.1 1 1
88.009614512	24.1 2 1
88.009614512	24.1 3 1
