9.578231293	16.4 1 2
12.596825397	17.2 2 1
14.294784580	17.1 1 3
18.031746032	17.3 1 4
20.056235828	17.4 2 1
23.597278912	18.4 2 3
25.200907029	18.3 3 4
29.438548753	19.1 1 3
30.773696145	19.2 2 2
32.333786848	19.3 3 1
35.083900227	19.4 1 2
36.208616780	20.1 2 2
38.341950113	20.2 1 1
50.837188209	1.3 1 1
53.986394558	2.1 2 2
54.044444444	1.4 1 1
60.292063492	2.2 1 1
67.562811791	2.3 1 3
70.697505669	2.4 2 1
73.382312925	3.1 3 2
76.749206349	3.2 1 2
87.002267574	3.4 1 5
90.470748299	4.1 2 3
91.755102041	6.4 1 10
92.908843537	7.1 2 4
106.782766440	5.4 2 1
108.466213152	6.1 1 3
108.778231293	6.2 2 1
112.043537415	6.3 3 2
113.843083900	5.3 1 12
128.246712018	6.4 1 2
131.141950113	7.1 1 1
135.270748299	7.2 1 3
137.019501134	7.3 3 1
137.795918367	7.4 2 1
140.342857143	8.1 1 1
142.127891156	8.2 2 2
146.880725624	8.3 1 1
149.014058957	8.4 1 1
156.756462585	9.1 1 1
158.113378685	9.2 2 1
